22.8204 	EXP 	slider_2: autoDraw = True
22.8380 	EXP 	slider_2: autoDraw = True
22.8537 	EXP 	slider_2: autoDraw = True
22.8709 	EXP 	slider_2: autoDraw = True
22.8879 	EXP 	slider_2: autoDraw = True
22.9047 	EXP 	slider_2: autoDraw = True
22.9329 	EXP 	slider_2: autoDraw = True
22.9475 	EXP 	slider_2: autoDraw = True
22.9591 	EXP 	slider_2: autoDraw = True
22.9711 	EXP 	slider_2: autoDraw = True
22.9877 	EXP 	slider_2: autoDraw = True
23.0039 	EXP 	slider_2: autoDraw = True
23.0211 	EXP 	slider_2: autoDraw = True
23.0387 	EXP 	slider_2: autoDraw = True
23.0553 	EXP 	slider_2: autoDraw = True
23.0711 	EXP 	slider_2: autoDraw = True
23.0880 	EXP 	slider_2: autoDraw = True
23.1050 	EXP 	slider_2: autoDraw = True
23.1218 	EXP 	slider_2: autoDraw = True
23.1385 	EXP 	slider_2: autoDraw = True
23.1552 	EXP 	slider_2: autoDraw = True
23.1717 	EXP 	slider_2: autoDraw = True
23.1883 	EXP 	slider_2: autoDraw = True
23.2167 	EXP 	slider_2: autoDraw = True
23.2295 	EXP 	slider_2: autoDraw = True
23.2429 	EXP 	slider_2: autoDraw = True
23.2558 	EXP 	slider_2: autoDraw = True
23.2715 	EXP 	slider_2: autoDraw = True
23.2881 	EXP 	slider_2: autoDraw = True
23.3042 	EXP 	slider_2: autoDraw = True
23.3223 	EXP 	slider_2: autoDraw = True
23.3386 	EXP 	slider_2: autoDraw = True
23.3550 	EXP 	slider_2: autoDraw = True
23.3638 	DATA 	Mouse: Left button down, pos=(843,103)
23.3722 	EXP 	slider_2: autoDraw = True
23.3887 	EXP 	slider_2: autoDraw = True
23.3887 	EXP 	slider: markerPos = 3.0114285714285716
23.3887 	EXP 	slider_2: markerPos = 3.0114285714285716
23.4076 	EXP 	slider_2: autoDraw = True
23.4076 	EXP 	slider: markerPos = 3.0114285714285716
23.4076 	EXP 	slider_2: markerPos = 3.0114285714285716
23.4243 	EXP 	slider_2: autoDraw = True
23.4243 	EXP 	slider: markerPos = 3.0114285714285716
23.4243 	EXP 	slider_2: markerPos = 3.0114285714285716
23.4429 	EXP 	slider_2: autoDraw = True
23.4429 	EXP 	slider: markerPos = 3.0114285714285716
23.4429 	EXP 	slider_2: markerPos = 3.0114285714285716
23.4574 	EXP 	slider_2: autoDraw = True
23.4574 	EXP 	slider: markerPos = 3.0114285714285716
23.4574 	EXP 	slider_2: markerPos = 3.0114285714285716
23.4586 	DATA 	Mouse:  Left button up, pos=(843,103)
23.4708 	EXP 	slider_2: autoDraw = True
23.4708 	EXP 	slider: markerPos = 3.0114285714285716
23.4708 	EXP 	slider_2: markerPos = 3.0114285714285716
23.4736 	EXP 	New trial (rep=1, index=0): None
23.4892 	EXP 	slider_2: autoDraw = True
23.4892 	EXP 	slider: autoDraw = False
23.4892 	EXP 	slider_2: autoDraw = False
23.4892 	EXP 	textbox: autoDraw = False
23.4892 	EXP 	text: autoDraw = False
23.4892 	EXP 	unnamed ImageStim: autoDraw = False
23.4892 	EXP 	slider: markerPos = None
23.4892 	EXP 	slider: markerPos = None
23.4892 	EXP 	slider_2: markerPos = None
23.4892 	EXP 	slider_2: markerPos = None
23.4892 	EXP 	slider: autoDraw = True
23.4892 	EXP 	slider_2: autoDraw = True
23.4892 	EXP 	textbox: autoDraw = True
23.4892 	EXP 	slider_2: autoDraw = True
23.5058 	EXP 	slider_2: autoDraw = True
23.5221 	EXP 	slider_2: autoDraw = True
23.5390 	EXP 	slider_2: autoDraw = True
23.5560 	EXP 	slider_2: autoDraw = True
23.5817 	EXP 	slider_2: autoDraw = True
23.5975 	EXP 	slider_2: autoDraw = True
23.6127 	EXP 	slider_2: autoDraw = True
23.6264 	EXP 	slider_2: autoDraw = True
23.6393 	EXP 	slider_2: autoDraw = True
23.6560 	EXP 	slider_2: autoDraw = True
23.6717 	EXP 	slider_2: autoDraw = True
23.6893 	EXP 	slider_2: autoDraw = True
23.7058 	EXP 	slider_2: autoDraw = True
23.7368 	EXP 	slider_2: autoDraw = True
23.7492 	EXP 	slider_2: autoDraw = True
23.7614 	EXP 	slider_2: autoDraw = True
23.7727 	EXP 	slider_2: autoDraw = True
23.7894 	EXP 	slider_2: autoDraw = True
23.8054 	EXP 	slider_2: autoDraw = True
23.8233 	EXP 	slider_2: autoDraw = True
23.8398 	EXP 	slider_2: autoDraw = True
23.8565 	EXP 	slider_2: autoDraw = True
23.8732 	EXP 	slider_2: autoDraw = True
23.8900 	EXP 	slider_2: autoDraw = True
23.9065 	EXP 	slider_2: autoDraw = True
23.9227 	EXP 	slider_2: autoDraw = True
23.9395 	EXP 	slider_2: autoDraw = True
23.9564 	EXP 	slider_2: autoDraw = True
23.9727 	EXP 	slider_2: autoDraw = True
23.9897 	EXP 	slider_2: autoDraw = True
24.0231 	EXP 	slider_2: autoDraw = True
24.0477 	EXP 	slider_2: autoDraw = True
24.0603 	EXP 	slider_2: autoDraw = True
24.0707 	EXP 	slider_2: autoDraw = True
24.0821 	EXP 	slider_2: autoDraw = True
24.0949 	EXP 	slider_2: autoDraw = True
24.1066 	EXP 	slider_2: autoDraw = True
24.1237 	EXP 	slider_2: autoDraw = True
24.1387 	EXP 	slider_2: autoDraw = True
24.1570 	EXP 	slider_2: autoDraw = True
24.1732 	EXP 	slider_2: autoDraw = True
24.1903 	EXP 	slider_2: autoDraw = True
